,source,target
207,29982,31217
208,29982,1737
209,29982,1762
210,29982,1767
211,29982,2006
212,29982,2055
213,29982,2056
214,29982,2118
215,29982,2285
216,29982,2349
217,29982,14593
218,29982,2635
219,29982,2672
220,29982,2879
221,29982,2900
222,29982,2918
223,29982,3032
224,29982,3153
225,29982,3226
226,29982,18915
227,29982,3414
228,29982,3426
229,29982,31584
230,29982,31604
231,29982,3889
232,29982,4191
233,29982,4193
234,29982,4351
235,29982,34651
236,29982,4460
237,29982,36325
238,29982,4752
239,29982,4833
240,29982,4933
241,29982,5015
242,29982,5061
243,29982,5085
244,29982,5316
245,29982,5652
246,29982,5404
247,29982,31851
248,29982,5451
249,29982,5457
250,29982,25434
251,29982,5465
252,29982,7003
253,29982,5629
254,29982,5634
255,29982,5743
256,29982,36750
257,29982,5841
258,29982,5900
259,29982,6005
260,29982,6021
261,29982,6134
262,29982,6223
263,29982,25569
264,29982,6334
265,29982,6386
266,29982,2516
267,29982,35483
268,29982,3040
269,29982,6583
270,29982,6641
271,29982,6715
272,29982,6733
273,29982,6763
274,29982,6794
275,29982,6854
276,29982,25500
277,29982,6945
278,29982,6949
279,29982,5315
280,29982,7006
281,29982,7027
282,29982,7031
283,29982,7173
284,29982,7187
285,29982,7233
286,29982,7302
287,29982,22854
288,29982,7399
289,29982,7415
290,29982,7473
291,29982,7490
292,29982,7589
293,29982,7602
294,29982,7631
295,29982,7707
296,29982,7807
297,29982,7810
298,29982,7828
299,29982,7837
300,29982,35747
301,29982,7998
302,29982,19684
303,29982,8227
304,29982,8402
305,29982,8518
306,29982,32415
307,29982,8625
308,29982,8635
309,29982,8877
310,29982,8942
311,29982,9015
312,29982,9025
313,29982,9154
314,29982,9265
315,29982,9453
316,29982,9532
317,29982,9605
318,29982,9642
319,29982,26200
320,29982,9881
321,29982,9981
322,29982,9988
323,29982,10001
324,29982,7740
325,29982,30636
326,29982,10071
327,29982,10284
328,29982,10602
329,29982,10621
330,29982,10671
331,29982,34689
332,29982,10937
333,29982,10965
334,29982,10966
335,29982,11046
336,29982,11124
337,29982,11406
338,29982,11534
339,29982,11803
340,29982,11814
341,29982,11917
342,29982,11983
343,29982,20301
344,29982,12038
345,29982,27067
346,29982,12288
347,29982,20363
348,29982,12479
349,29982,12507
350,29982,12642
351,29982,12678
352,29982,12727
353,29982,12741
354,29982,12793
355,29982,12821
356,29982,12887
357,29982,36518
358,29982,13104
359,29982,13177
360,29982,13210
361,29982,13354
362,29982,13609
363,29982,13640
364,29982,13728
365,29982,13757
366,29982,13857
367,29982,35141
368,29982,27620
369,29982,14047
370,29982,14277
371,29982,14361
372,29982,14381
373,29982,14406
374,29982,14464
375,29982,14515
376,29982,25551
377,29982,14568
378,29982,14595
379,29982,14639
380,29982,14699
381,29982,14738
382,29982,35043
383,29982,14881
384,29982,16689
385,29982,15038
386,29982,27728
387,29982,15181
388,29982,15236
389,29982,15251
390,29982,30162
391,29982,24709
392,29982,21319
393,29982,15876
394,29982,15883
395,29982,16095
396,29982,16264
397,29982,16395
398,29982,16412
399,29982,16599
400,29982,16600
401,29982,16703
402,29982,16797
403,29982,32331
404,29982,19894
405,29982,17007
406,29982,17239
407,29982,34682
408,29982,17302
409,29982,21194
410,29982,17636
411,29982,17702
412,29982,17705
413,29982,17733
414,29982,17750
415,29982,18133
416,29982,18215
417,29982,18258
418,29982,8985
419,29982,18435
420,29982,21376
421,29982,33012
422,29982,18659
423,29982,18772
424,29982,3160
425,29982,18910
426,29982,8759
427,29982,4828
428,29982,4881
429,29982,1058
430,29982,19222
431,29982,19399
432,29982,19432
433,29982,19533
434,29982,19771
435,29982,5802
436,29982,19928
437,29982,10483
438,29982,10528
439,29982,10559
440,29982,20105
441,29982,20119
442,29982,11081
443,29982,20279
444,29982,20386
445,29982,8646
446,29982,36863
447,29982,20731
448,29982,34734
449,29982,20922
450,29982,16105
451,29982,21034
452,29982,21095
453,29982,21142
454,29982,21165
455,29982,15757
456,29982,21375
457,29982,21435
458,29982,21596
459,29982,21647
460,29982,21776
461,29982,21848
462,29982,21877
463,29982,21978
464,29982,21979
465,29982,22062
466,29982,22083
467,29982,22292
468,29982,22337
469,29982,22342
470,29982,22455
471,29982,22459
472,29982,22505
473,29982,22612
474,29982,26979
475,29982,22797
476,29982,22881
477,29982,23108
478,29982,23127
479,29982,23242
480,29982,23264
481,29982,23280
482,29982,23576
483,29982,23714
484,29982,23765
485,29982,23767
486,29982,23789
487,29982,23837
488,29982,23850
489,29982,23958
490,29982,23972
491,29982,24049
492,29982,24343
493,29982,24347
494,29982,35262
495,29982,24514
496,29982,24581
497,29982,24587
498,29982,24589
499,29982,24609
500,29982,24670
501,29982,18384
502,29982,35450
503,29982,24730
504,29982,24841
505,29982,24842
506,29982,24905
507,29982,24934
508,29982,2979
509,29982,25029
510,29982,25159
511,29982,4417
512,29982,25262
513,29982,25277
514,29982,25424
515,29982,25469
516,29982,25477
517,29982,25510
518,29982,6145
519,29982,25574
520,29982,6417
521,29982,25610
522,29982,25681
523,29982,25752
524,29982,25850
525,29982,25898
526,29982,3712
527,29982,25999
528,29982,26000
529,29982,26003
530,29982,26007
531,29982,26092
532,29982,26125
533,29982,26179
534,29982,26190
535,29982,26228
536,29982,17525
537,29982,26634
538,29982,12813
539,29982,26958
540,29982,35773
541,29982,27097
542,29982,27123
543,29982,4494
544,29982,27521
545,29982,32940
546,29982,27539
547,29982,27565
548,29982,27566
549,29982,33937
550,29982,27749
551,29982,27808
552,29982,27823
553,29982,6452
554,29982,27851
555,29982,27929
556,29982,36427
557,29982,28128
558,29982,28183
559,29982,21404
560,29982,28575
561,29982,24521
562,29982,27212
563,29982,29394
564,29982,29401
565,29982,29536
566,29982,31890
567,29982,29619
568,29982,29805
569,29982,23275
570,29982,29886
571,29982,29912
572,29982,27418
573,29982,19825
574,29982,33867
575,29982,35781
576,29982,31126
577,29982,35154
578,29982,31636
579,29982,37138
580,29982,16959
581,29982,35186
582,29982,33006
583,29982,36891
584,29982,30176
585,29982,34564
586,29982,31518
587,29982,35230
588,29982,36741
589,29982,34605
590,29982,36544
591,29982,32723
592,29982,5300
593,29982,32149
594,29982,33984
595,29982,36788
596,29982,35089
597,29982,34509
598,29982,35291
599,29982,32755
600,29982,30582
601,29982,30453
602,29982,26989
603,29982,16496
604,29982,37267
605,29982,31540
606,29982,30292
607,29982,30303
608,29982,15940
609,29982,30333
610,29982,33988
611,29982,184
612,29982,34989
613,29982,17633
614,29982,30230
615,29982,34650
616,29982,31633
617,29982,35456
618,29982,7598
619,29982,31659
620,29982,7438
621,29982,35867
622,29982,30422
623,29982,36759
624,29982,22836
625,29982,34754
626,29982,31813
627,29982,32961
628,29982,30016
629,29982,13526
630,29982,37471
631,29982,36736
632,29982,32985
633,29982,32991
634,29982,32997
635,29982,35513
636,29982,18411
637,29982,23905
638,29982,33915
639,29982,25599
640,29982,33303
641,29982,32784
642,29982,36894
643,29982,20469
644,29982,30553
645,29982,13908
646,29982,30121
647,29982,18699
648,29982,36927
649,29982,23676
650,29982,33097
651,29982,25823
652,29982,20974
653,29982,30612
654,29982,33763
655,29982,35828
656,29982,10154
657,29982,34774
658,29982,8645
659,29982,35537
660,29982,35971
661,29982,37180
662,29982,30397
663,29982,36628
664,29982,26189
665,29982,33813
666,29982,31917
667,29982,31299
668,29982,37566
669,29982,30694
670,29982,30082
671,29982,12003
672,21142,35
673,21142,34227
674,21142,224
675,21142,242
676,21142,302
677,21142,480
678,21142,494
679,21142,546
680,21142,618
681,21142,620
682,21142,631
683,21142,727
684,21142,736
685,21142,746
686,21142,31053
687,21142,848
688,21142,5103
689,21142,937
690,21142,964
691,21142,33229
692,21142,1085
693,21142,6245
694,21142,1103
695,21142,1135
696,21142,1145
697,21142,1257
698,21142,1295
699,21142,1483
700,21142,27803
701,21142,1601
702,21142,9568
703,21142,31217
704,21142,1737
705,21142,1748
706,21142,1767
707,21142,1877
708,21142,1884
709,21142,1968
710,21142,2006
711,21142,2055
712,21142,2056
713,21142,2091
714,21142,2138
715,21142,2349
716,21142,2352
717,21142,14593
718,21142,16392
719,21142,2464
720,21142,2558
721,21142,2559
722,21142,2597
723,21142,2635
724,21142,2672
725,21142,36973
726,21142,3006
727,21142,33693
728,21142,3032
729,21142,3153
730,21142,18850
731,21142,3226
732,21142,3233
733,21142,18915
734,21142,3376
735,21142,3414
736,21142,3446
737,21142,3491
738,21142,3566
739,21142,3633
740,21142,3642
741,21142,3651
742,21142,31584
743,21142,3698
744,21142,31604
745,21142,3868
746,21142,3889
747,21142,4001
748,21142,4048
749,21142,4081
750,21142,4086
751,21142,4186
752,21142,4191
753,21142,4193
754,21142,4219
755,21142,4235
756,21142,4262
757,21142,34651
758,21142,4451
759,21142,4460
760,21142,4470
761,21142,4517
762,21142,4613
763,21142,4683
764,21142,4694
765,21142,32436
766,21142,4734
767,21142,4752
768,21142,4767
769,21142,4769
770,21142,4822
771,21142,6885
772,21142,4854
773,21142,5015
774,21142,5179
775,21142,5271
776,21142,5284
777,21142,5316
778,21142,5362
779,21142,5404
780,21142,25434
781,21142,7003
782,21142,5629
783,21142,5634
784,21142,5743
785,21142,5765
786,21142,36750
787,21142,5841
788,21142,5900
789,21142,5974
790,21142,6005
791,21142,25
792,21142,6134
793,21142,6183
794,21142,25569
795,21142,6334
796,21142,6486
797,21142,2516
798,21142,6503
799,21142,6535
800,21142,35483
801,21142,3040
802,21142,6575
803,21142,6641
804,21142,6703
805,21142,6723
806,21142,6763
807,21142,6854
808,21142,6945
809,21142,6949
810,21142,5315
811,21142,7006
812,21142,7090
813,21142,7110
814,21142,7187
815,21142,7213
816,21142,7233
817,21142,7302
818,21142,22854
819,21142,32301
820,21142,7631
821,21142,7653
822,21142,7707
823,21142,7810
824,21142,7837
825,21142,7852
826,21142,35747
827,21142,19684
828,21142,8106
829,21142,25883
830,21142,8227
831,21142,8322
832,21142,19738
833,21142,32415
834,21142,8531
835,21142,8625
836,21142,8635
837,21142,8639
838,21142,8679
839,21142,8724
840,21142,8753
841,21142,8877
842,21142,8942
843,21142,9015
844,21142,9025
845,21142,9092
846,21142,9152
847,21142,9170
848,21142,9284
849,21142,9295
850,21142,9297
851,21142,9312
852,21142,9338
853,21142,9364
854,21142,9376
855,21142,9387
856,21142,32011
857,21142,9453
858,21142,9605
859,21142,9642
860,21142,37015
861,21142,9668
862,21142,9761
863,21142,9825
864,21142,26200
865,21142,9865
866,21142,9988
867,21142,10001
868,21142,7740
869,21142,30636
870,21142,10071
871,21142,1084
872,21142,10161
873,21142,10204
874,21142,10305
875,21142,10496
876,21142,10506
877,21142,10583
878,21142,10602
879,21142,10605
880,21142,10691
881,21142,10692
882,21142,10737
883,21142,10775
884,21142,32718
885,21142,10783
886,21142,10790
887,21142,34689
888,21142,10937
889,21142,11034
890,21142,11046
891,21142,11124
892,21142,11164
893,21142,11279
894,21142,11374
895,21142,11381
896,21142,11388
897,21142,11566
898,21142,11612
899,21142,11632
900,21142,81
901,21142,11917
902,21142,11983
903,21142,20301
904,21142,12046
905,21142,12054
906,21142,12231
907,21142,20363
908,21142,12461
909,21142,8142
910,21142,12542
911,21142,12543
912,21142,12593
913,21142,12642
914,21142,12678
915,21142,12727
916,21142,12741
917,21142,12827
918,21142,20463
919,21142,12971
920,21142,13078
921,21142,13334
922,21142,13354
923,21142,13409
924,21142,13474
925,21142,13609
926,21142,24614
927,21142,13640
928,21142,13734
929,21142,13757
930,21142,13824
931,21142,13851
932,21142,13857
933,21142,13912
934,21142,13952
935,21142,35141
936,21142,27620
937,21142,14099
938,21142,9546
939,21142,14161
940,21142,14177
941,21142,14265
942,21142,14277
943,21142,14299
944,21142,14356
945,21142,14464
946,21142,14515
947,21142,25551
948,21142,14595
949,21142,34766
950,21142,14639
951,21142,14738
952,21142,14755
953,21142,35043
954,21142,14846
955,21142,14877
956,21142,14881
957,21142,14890
958,21142,14939
959,21142,15063
960,21142,15140
961,21142,27728
962,21142,15201
963,21142,15251
964,21142,15270
965,21142,15318
966,21142,30162
967,21142,15460
968,21142,35621
969,21142,20292
970,21142,15646
971,21142,21319
972,21142,15883
973,21142,15988
974,21142,16055
975,21142,16095
976,21142,16098
977,21142,16264
978,21142,16412
979,21142,16424
980,21142,16431
981,21142,16445
982,21142,16485
983,21142,16599
984,21142,16600
985,21142,16624
986,21142,35150
987,21142,16797
988,21142,16826
989,21142,32331
990,21142,34017
991,21142,19894
992,21142,16986
993,21142,17013
994,21142,17239
995,21142,21194
996,21142,17515
997,21142,17644
998,21142,17675
999,21142,17684
1000,21142,17733
1001,21142,27625
1002,21142,18133
1003,21142,18134
1004,21142,18215
1005,21142,18258
1006,21142,18495
1007,21142,21376
1008,21142,33012
1009,21142,18659
1010,21142,2391
1011,21142,3160
1012,21142,18854
1013,21142,18910
1014,21142,18918
1015,21142,4575
1016,21142,4828
1017,21142,4881
1018,21142,1058
1019,21142,19222
1020,21142,19245
1021,21142,5664
1022,21142,19324
1023,21142,19339
1024,21142,19432
1025,21142,19522
1026,21142,19533
1027,21142,19538
1028,21142,19540
1029,21142,19551
1030,21142,19568
1031,21142,21550
1032,21142,19593
1033,21142,19638
1034,21142,19643
1035,21142,19819
1036,21142,5802
1037,21142,19925
1038,21142,19928
1039,21142,10281
1040,21142,10528
1041,21142,10559
1042,21142,20105
1043,21142,20119
1044,21142,20180
1045,21142,12185
1046,21142,20384
1047,21142,20386
1048,21142,20491
1049,21142,8646
1050,21142,20700
1051,21142,20731
1052,21142,34734
1053,21142,28100
1054,21142,20780
1055,21142,20836
1056,21142,20922
1057,21142,16105
1058,21142,21034
1059,21142,21095
1060,21142,35156
1061,21142,19825
1062,21142,30101
1063,21142,36427
1064,21142,27860
1065,21142,21435
1066,21142,28881
1067,21142,27842
1068,21142,29886
1069,21142,30724
1070,21142,27418
1071,21142,33892
1072,21142,21754
1073,21142,33904
1074,21142,35186
1075,21142,28919
1076,21142,35531
1077,21142,35202
1078,21142,22647
1079,21142,27749
1080,21142,35219
1081,21142,31441
1082,21142,30202
1083,21142,26569
1084,21142,23017
1085,21142,33296
1086,21142,15296
1087,21142,32710
1088,21142,30218
1089,21142,5300
1090,21142,35262
1091,21142,34536
1092,21142,36839
1093,21142,23767
1094,21142,31497
1095,21142,25424
1096,21142,35291
1097,21142,31508
1098,21142,27823
1099,21142,26634
1100,21142,21877
1101,21142,30453
1102,21142,16496
1103,21142,25454
1104,21142,31535
1105,21142,31540
1106,21142,24291
1107,21142,25469
1108,21142,31549
1109,21142,30303
1110,21142,22139
1111,21142,23127
1112,21142,15940
1113,21142,30333
1114,21142,31572
1115,21142,30339
1116,21142,26710
1117,21142,24343
1118,21142,25960
1119,21142,17633
1120,21142,24347
1121,21142,31643
1122,21142,30372
1123,21142,27929
1124,21142,21979
1125,21142,2575
1126,21142,13038
1127,21142,19958
1128,21142,6622
1129,21142,35089
1130,21142,23209
1131,21142,27031
1132,21142,35450
1133,21142,31659
1134,21142,34167
1135,21142,29178
1136,21142,35468
1137,21142,31518
1138,21142,6417
1139,21142,35549
1140,21142,20188
1141,21142,25603
1142,21142,25610
1143,21142,12436
1144,21142,31813
1145,21142,32961
1146,21142,23264
1147,21142,25627
1148,21142,22071
1149,21142,13526
1150,21142,37471
1151,21142,23280
1152,21142,37490
1153,21142,32985
1154,21142,22083
1155,21142,27521
1156,21142,28041
1157,21142,22088
1158,21142,31633
1159,21142,32997
1160,21142,13626
1161,21142,9084
1162,21142,23316
1163,21142,24498
1164,21142,18411
1165,21142,25355
1166,21142,26958
1167,21142,37566
1168,21142,32717
1169,21142,24514
1170,21142,25599
1171,21142,35576
1172,21142,29304
1173,21142,33099
1174,21142,36894
1175,21142,17329
1176,21142,30553
1177,21142,18699
1178,21142,36927
1179,21142,28128
1180,21142,30121
1181,21142,33087
1182,21142,28133
1183,21142,25422
1184,21142,36971
1185,21142,25854
1186,21142,25766
1187,21142,26979
1188,21142,35676
1189,21142,33006
1190,21142,25752
1191,21142,34774
1192,21142,24609
1193,21142,16524
1194,21142,26989
1195,21142,33525
1196,21142,23850
1197,21142,31917
1198,21142,35732
1199,21142,30694
1200,21142,37071
1201,21142,12003
1202,21142,23515
1203,21142,31674
1204,21142,30709
1205,21142,21165
1206,21142,18384
1207,21142,33011
1208,21142,27097
1209,21142,34509
1210,21142,22342
1211,21142,3061
1212,21142,31988
1213,21142,29514
1214,21142,35806
1215,21142,24721
1216,21142,4754
1217,21142,31636
1218,21142,37138
1219,21142,8275
1220,21142,16959
1221,21142,28311
1222,21142,29536
1223,21142,34605
1224,21142,35388
1225,21142,30773
1226,21142,33303
1227,21142,12985
1228,21142,30782
1229,21142,21241
1230,21142,25999
1231,21142,35867
1232,21142,29052
1233,21142,34108
1234,21142,36741
1235,21142,35890
1236,21142,31364
1237,21142,22402
1238,21142,29989
1239,21142,3712
1240,21142,24934
1241,21142,34646
1242,21142,34650
1243,21142,29619
1244,21142,26007
1245,21142,22452
1246,21142,35949
1247,21142,30231
1248,21142,22459
1249,21142,22656
1250,21142,24842
1251,21142,27238
1252,21142,29401
1253,21142,29394
1254,21142,10794
1255,21142,37267
1256,21142,20483
1257,21142,27981
1258,21142,23714
1259,21142,25259
1260,21142,30919
1261,21142,22505
1262,21142,22455
1263,21142,29805
1264,21142,33988
1265,21142,27808
1266,21142,6452
1267,21142,23744
1268,21142,24905
1269,21142,35380
1270,21142,30230
1271,21142,31890
1272,21142,28395
1273,21142,23765
1274,21142,23793
1275,21142,2859
1276,21142,32262
1277,21142,7598
1278,21142,15757
1279,21142,33553
1280,21142,23060
1281,21142,7438
1282,21142,9705
1283,21142,22609
1284,21142,2979
1285,21142,22612
1286,21142,36118
1287,21142,28575
1288,21142,35154
1289,21142,26051
1290,21142,23837
1291,21142,23840
1292,21142,37430
1293,21142,34849
1294,21142,30016
1295,21142,34859
1296,21142,25029
1297,21142,26228
1298,21142,28672
1299,21142,30338
1300,21142,25033
1301,21142,10242
1302,21142,27474
1303,21142,33915
1304,21142,27751
1305,21142,14978
1306,21142,22712
1307,21142,7126
1308,21142,37049
1309,21142,29912
1310,21142,32427
1311,21142,20469
1312,21142,33690
1313,21142,26245
1314,21142,29168
1315,21142,23676
1316,21142,23958
1317,21142,27539
1318,21142,21596
1319,21142,34989
1320,21142,24521
1321,21142,32467
1322,21142,22779
1323,21142,10770
1324,21142,25159
1325,21142,20974
1326,21142,22797
1327,21142,27566
1328,21142,23991
1329,21142,23816
1330,21142,31126
1331,21142,27123
1332,21142,30002
1333,21142,33776
1334,21142,36628
1335,21142,34690
1336,21142,28248
1337,21142,4494
1338,21142,21914
1339,21142,34781
1340,21142,20303
1341,21142,33803
1342,21142,33424
1343,21142,29818
1344,21142,33813
1345,21142,10154
1346,21142,24049
1347,21142,14865
1348,21142,26441
1349,21142,26666
1350,21142,4417
1351,21142,22881
1352,21142,27652
1353,21142,32872
1354,21142,22889
1355,21142,29236
1356,21142,17246
1357,21142,33850
1358,20363,14
1359,20363,35
1360,20363,36
1361,20363,302
1362,20363,618
1363,20363,6173
1364,20363,736
1365,20363,809
1366,20363,848
1367,20363,964
1368,20363,1033
1369,20363,1085
1370,20363,6245
1371,20363,1103
1372,20363,1297
1373,20363,1435
1374,20363,1448
1375,20363,27803
1376,20363,1696
1377,20363,1737
1378,20363,1867
1379,20363,1876
1380,20363,1906
1381,20363,2006
1382,20363,2056
1383,20363,2321
1384,20363,2559
1385,20363,2635
1386,20363,2672
1387,20363,36973
1388,20363,3014
1389,20363,33693
1390,20363,3032
1391,20363,3226
1392,20363,18915
1393,20363,3414
1394,20363,31584
1395,20363,31604
1396,20363,3868
1397,20363,3889
1398,20363,4001
1399,20363,4048
1400,20363,4067
1401,20363,4087
1402,20363,4174
1403,20363,4296
1404,20363,4330
1405,20363,34651
1406,20363,4517
1407,20363,4752
1408,20363,34455
1409,20363,4767
1410,20363,4775
1411,20363,5015
1412,20363,5316
1413,20363,5318
1414,20363,25703
1415,20363,37581
1416,20363,25434
1417,20363,5465
1418,20363,5629
1419,20363,5649
1420,20363,5765
1421,20363,5841
1422,20363,5903
1423,20363,5927
1424,20363,6005
1425,20363,6223
1426,20363,25569
1427,20363,6334
1428,20363,6383
1429,20363,6392
1430,20363,2516
1431,20363,6641
1432,20363,6715
1433,20363,6723
1434,20363,6763
1435,20363,25500
1436,20363,7069
1437,20363,7110
1438,20363,7233
1439,20363,22854
1440,20363,7399
1441,20363,7414
1442,20363,7515
1443,20363,7540
1444,20363,7674
1445,20363,7760
1446,20363,7810
1447,20363,7837
1448,20363,7852
1449,20363,7853
1450,20363,35747
1451,20363,7944
1452,20363,25883
1453,20363,8263
1454,20363,8310
1455,20363,19738
1456,20363,26418
1457,20363,32415
1458,20363,8531
1459,20363,8541
1460,20363,8635
1461,20363,8942
1462,20363,9376
1463,20363,32052
1464,20363,9605
1465,20363,9677
1466,20363,9761
1467,20363,9947
1468,20363,9955
1469,20363,9961
1470,20363,10001
1471,20363,1084
1472,20363,10509
1473,20363,28148
1474,20363,32718
1475,20363,10830
1476,20363,10882
1477,20363,34689
1478,20363,10965
1479,20363,10971
1480,20363,11034
1481,20363,11121
1482,20363,11124
1483,20363,11326
1484,20363,11374
1485,20363,11679
1486,20363,11983
1487,20363,12038
1488,20363,12067
1489,20363,12138
1490,20363,12231
1491,20363,12525
1492,20363,19825
1493,20363,21165
1494,20363,13177
1495,20363,36839
1496,20363,16621
1497,20363,13757
1498,20363,34510
1499,20363,31695
1500,20363,22342
1501,20363,35154
1502,20363,34607
1503,20363,24709
1504,20363,22007
1505,20363,24131
1506,20363,6872
1507,20363,2575
1508,20363,12058
1509,20363,19538
1510,20363,10559
1511,20363,8275
1512,20363,16959
1513,20363,22455
1514,20363,29536
1515,20363,27728
1516,20363,19551
1517,20363,30162
1518,20363,33006
1519,20363,23583
1520,20363,17239
1521,20363,12985
1522,20363,34058
1523,20363,22325
1524,20363,14381
1525,20363,27749
1526,20363,2816
1527,20363,22394
1528,20363,28308
1529,20363,29745
1530,20363,35867
1531,20363,22062
1532,20363,30200
1533,20363,35043
1534,20363,33951
1535,20363,36741
1536,20363,26569
1537,20363,28961
1538,20363,23017
1539,20363,27183
1540,20363,16689
1541,20363,25974
1542,20363,12696
1543,20363,34627
1544,20363,5300
1545,20363,32149
1546,20363,35262
1547,20363,35467
1548,20363,36561
1549,20363,26608
1550,20363,20282
1551,20363,23767
1552,20363,24934
1553,20363,34646
1554,20363,26000
1555,20363,31496
1556,20363,29619
1557,20363,20731
1558,20363,22452
1559,20363,35291
1560,20363,35949
1561,20363,22458
1562,20363,22459
1563,20363,24837
1564,20363,32761
1565,20363,12741
1566,20363,26179
1567,20363,29023
1568,20363,16763
1569,20363,31525
1570,20363,28183
1571,20363,16496
1572,20363,13903
1573,20363,37267
1574,20363,24291
1575,20363,29049
1576,20363,24867
1577,20363,15655
1578,20363,16788
1579,20363,21622
1580,20363,23714
1581,20363,26166
1582,20363,8242
1583,20363,21343
1584,20363,13857
1585,20363,31674
1586,20363,14515
1587,20363,16733
1588,20363,28591
1589,20363,20785
1590,20363,23127
1591,20363,24130
1592,20363,8646
1593,20363,13908
1594,20363,16431
1595,20363,27808
1596,20363,26726
1597,20363,26092
1598,20363,17013
1599,20363,24905
1600,20363,184
1601,20363,21374
1602,20363,21376
1603,20363,32202
1604,20363,18588
1605,20363,30230
1606,20363,29961
1607,20363,16264
1608,20363,20252
1609,20363,23765
1610,20363,13984
1611,20363,34315
1612,20363,25526
1613,20363,36736
1614,20363,33012
1615,20363,9339
1616,20363,26130
1617,20363,16280
1618,20363,16095
1619,20363,20836
1620,20363,34734
1621,20363,4754
1622,20363,32331
1623,20363,25551
1624,20363,31633
1625,20363,19745
1626,20363,36082
1627,20363,35089
1628,20363,30397
1629,20363,23209
1630,20363,33793
1631,20363,18059
1632,20363,21435
1633,20363,23216
1634,20363,22013
1635,20363,35450
1636,20363,31659
1637,20363,22337
1638,20363,34167
1639,20363,37138
1640,20363,20880
1641,20363,14624
1642,20363,36758
1643,20363,21319
1644,20363,12185
1645,20363,29805
1646,20363,15236
1647,20363,32181
1648,20363,25614
1649,20363,28009
1650,20363,22640
1651,20363,23777
1652,20363,22645
1653,20363,15251
1654,20363,13474
1655,20363,29831
1656,20363,30016
1657,20363,12920
1658,20363,19432
1659,20363,19820
1660,20363,26228
1661,20363,31999
1662,20363,22667
1663,20363,25043
1664,20363,27521
1665,20363,22088
1666,20363,14609
1667,20363,14099
1668,20363,37490
1669,20363,36860
1670,20363,31126
