,node,centrality,community,density
18838,21541,3,5,0.012483486569076182
18959,14111,3,5,0.012483486569076182
20876,13491,3,5,0.012483486569076182
21351,3954,3,5,0.012483486569076182
21857,7937,3,5,0.012483486569076182
22267,19456,3,5,0.012483486569076182
23614,6861,3,5,0.012483486569076182
23744,30125,3,5,0.012483486569076182
25352,18314,3,5,0.012483486569076182
25758,6330,3,5,0.012483486569076182
25799,19860,3,5,0.012483486569076182
26654,22414,3,5,0.012483486569076182
26760,19496,3,5,0.012483486569076182
26918,24462,3,5,0.012483486569076182
28260,12216,3,5,0.012483486569076182
28288,32670,3,5,0.012483486569076182
29098,8973,3,5,0.012483486569076182
29426,36074,3,5,0.012483486569076182
30005,20544,3,5,0.012483486569076182
30604,35328,3,5,0.012483486569076182
31063,13430,3,5,0.012483486569076182
31579,16790,3,5,0.012483486569076182
31637,11512,3,5,0.012483486569076182
32134,12204,3,5,0.012483486569076182
32208,24604,3,5,0.012483486569076182
32812,37237,3,5,0.012483486569076182
32830,13494,3,5,0.012483486569076182
33654,23600,3,5,0.012483486569076182
33659,15515,3,5,0.012483486569076182
33812,15033,3,5,0.012483486569076182
33878,10679,3,5,0.012483486569076182
34668,27616,3,5,0.012483486569076182
34669,36216,3,5,0.012483486569076182
34915,23029,3,5,0.012483486569076182
35631,25893,3,5,0.012483486569076182
35881,30976,3,5,0.012483486569076182
36647,28748,3,5,0.012483486569076182
37045,34352,3,5,0.012483486569076182
37593,37467,3,5,0.012483486569076182
784,6138,4,5,0.012483486569076182
1199,24504,4,5,0.012483486569076182
3109,370,4,5,0.012483486569076182
3110,25122,4,5,0.012483486569076182
3127,19999,4,5,0.012483486569076182
3130,22216,4,5,0.012483486569076182
4476,23467,4,5,0.012483486569076182
6760,29582,4,5,0.012483486569076182
7863,18686,4,5,0.012483486569076182
8665,1744,4,5,0.012483486569076182
9234,27354,4,5,0.012483486569076182
10106,34572,4,5,0.012483486569076182
10982,6939,4,5,0.012483486569076182
12699,14976,4,5,0.012483486569076182
13851,26769,4,5,0.012483486569076182
14034,16145,4,5,0.012483486569076182
15454,35913,4,5,0.012483486569076182
15728,28831,4,5,0.012483486569076182
16274,14645,4,5,0.012483486569076182
20517,3547,4,5,0.012483486569076182
20659,35860,4,5,0.012483486569076182
20970,18619,4,5,0.012483486569076182
21347,33877,4,5,0.012483486569076182
21552,4040,4,5,0.012483486569076182
21928,33593,4,5,0.012483486569076182
21961,4274,4,5,0.012483486569076182
22571,4570,4,5,0.012483486569076182
22609,4604,4,5,0.012483486569076182
22716,4676,4,5,0.012483486569076182
22718,32989,4,5,0.012483486569076182
22932,22912,4,5,0.012483486569076182
23026,14702,4,5,0.012483486569076182
23819,20077,4,5,0.012483486569076182
24142,24260,4,5,0.012483486569076182
26159,8062,4,5,0.012483486569076182
26261,32494,4,5,0.012483486569076182
26531,24269,4,5,0.012483486569076182
26653,14034,4,5,0.012483486569076182
27076,13265,4,5,0.012483486569076182
27379,13129,4,5,0.012483486569076182
28570,6495,4,5,0.012483486569076182
29357,34514,4,5,0.012483486569076182
29379,18063,4,5,0.012483486569076182
29479,19039,4,5,0.012483486569076182
30231,21428,4,5,0.012483486569076182
30959,5289,4,5,0.012483486569076182
31753,15357,4,5,0.012483486569076182
32380,12584,4,5,0.012483486569076182
32490,12837,4,5,0.012483486569076182
33557,27020,4,5,0.012483486569076182
33656,16537,4,5,0.012483486569076182
33927,15271,4,5,0.012483486569076182
34316,21316,4,5,0.012483486569076182
14,3,5,5,0.012483486569076182
1201,36101,5,5,0.012483486569076182
2420,270,5,5,0.012483486569076182
3210,12585,5,5,0.012483486569076182
4478,31235,5,5,0.012483486569076182
8184,36570,5,5,0.012483486569076182
10105,1392,5,5,0.012483486569076182
11602,11988,5,5,0.012483486569076182
12319,31742,5,5,0.012483486569076182
14246,26274,5,5,0.012483486569076182
16094,33051,5,5,0.012483486569076182
16097,6485,5,5,0.012483486569076182
17464,2363,5,5,0.012483486569076182
19055,2944,5,5,0.012483486569076182
19268,10341,5,5,0.012483486569076182
20488,26097,5,5,0.012483486569076182
20686,19907,5,5,0.012483486569076182
21619,4078,5,5,0.012483486569076182
22952,4815,5,5,0.012483486569076182
23151,4943,5,5,0.012483486569076182
23152,9581,5,5,0.012483486569076182
26596,6887,5,5,0.012483486569076182
26673,3232,5,5,0.012483486569076182
26778,34383,5,5,0.012483486569076182
28735,8584,5,5,0.012483486569076182
29012,11390,5,5,0.012483486569076182
29063,11490,5,5,0.012483486569076182
29064,30705,5,5,0.012483486569076182
29170,16108,5,5,0.012483486569076182
29620,9386,5,5,0.012483486569076182
30990,33886,5,5,0.012483486569076182
31536,34832,5,5,0.012483486569076182
33080,37074,5,5,0.012483486569076182
33249,32231,5,5,0.012483486569076182
33457,14396,5,5,0.012483486569076182
33517,14504,5,5,0.012483486569076182
33618,13948,5,5,0.012483486569076182
34328,5709,5,5,0.012483486569076182
1198,118,6,5,0.012483486569076182
4917,1967,6,5,0.012483486569076182
7036,22360,6,5,0.012483486569076182
8651,31399,6,5,0.012483486569076182
8654,1097,6,5,0.012483486569076182
8673,27883,6,5,0.012483486569076182
11379,30060,6,5,0.012483486569076182
12785,35266,6,5,0.012483486569076182
13660,32898,6,5,0.012483486569076182
15447,21925,6,5,0.012483486569076182
16093,2060,6,5,0.012483486569076182
16534,27858,6,5,0.012483486569076182
16957,13780,6,5,0.012483486569076182
20620,30369,6,5,0.012483486569076182
21620,9268,6,5,0.012483486569076182
21856,20151,6,5,0.012483486569076182
22264,18272,6,5,0.012483486569076182
22610,19563,6,5,0.012483486569076182
23740,670,6,5,0.012483486569076182
23742,36010,6,5,0.012483486569076182
24963,13894,6,5,0.012483486569076182
25497,28366,6,5,0.012483486569076182
26260,3465,6,5,0.012483486569076182
29062,11871,6,5,0.012483486569076182
30277,24469,6,5,0.012483486569076182
30648,24509,6,5,0.012483486569076182
31639,17837,6,5,0.012483486569076182
32682,32348,6,5,0.012483486569076182
34670,30240,6,5,0.012483486569076182
3485,35899,7,5,0.012483486569076182
4477,855,7,5,0.012483486569076182
4922,12772,7,5,0.012483486569076182
7031,31323,7,5,0.012483486569076182
7034,35731,7,5,0.012483486569076182
7719,990,7,5,0.012483486569076182
7723,1534,7,5,0.012483486569076182
8182,28688,7,5,0.012483486569076182
8648,26809,7,5,0.012483486569076182
8671,10651,7,5,0.012483486569076182
9556,34060,7,5,0.012483486569076182
10014,34742,7,5,0.012483486569076182
11674,21296,7,5,0.012483486569076182
13806,36646,7,5,0.012483486569076182
14239,25316,7,5,0.012483486569076182
14245,13567,7,5,0.012483486569076182
15451,22951,7,5,0.012483486569076182
17942,28364,7,5,0.012483486569076182
19172,26606,7,5,0.012483486569076182
19371,13364,7,5,0.012483486569076182
20880,25515,7,5,0.012483486569076182
21346,36976,7,5,0.012483486569076182
22052,6958,7,5,0.012483486569076182
22268,5014,7,5,0.012483486569076182
22953,33159,7,5,0.012483486569076182
23153,26552,7,5,0.012483486569076182
23747,15004,7,5,0.012483486569076182
24297,10290,7,5,0.012483486569076182
25517,31038,7,5,0.012483486569076182
25664,15209,7,5,0.012483486569076182
26259,34530,7,5,0.012483486569076182
30401,22657,7,5,0.012483486569076182
30931,15287,7,5,0.012483486569076182
33558,23185,7,5,0.012483486569076182
33661,31007,7,5,0.012483486569076182
3137,27242,8,5,0.012483486569076182
4471,529,8,5,0.012483486569076182
8662,28065,8,5,0.012483486569076182
10148,9840,8,5,0.012483486569076182
11212,32964,8,5,0.012483486569076182
14028,8725,8,5,0.012483486569076182
15450,27332,8,5,0.012483486569076182
15828,4244,8,5,0.012483486569076182
16958,32602,8,5,0.012483486569076182
20049,31536,8,5,0.012483486569076182
21159,14979,8,5,0.012483486569076182
21549,4038,8,5,0.012483486569076182
22708,21313,8,5,0.012483486569076182
22760,13613,8,5,0.012483486569076182
22830,28916,8,5,0.012483486569076182
22947,4810,8,5,0.012483486569076182
23041,19480,8,5,0.012483486569076182
24443,24753,8,5,0.012483486569076182
28473,19298,8,5,0.012483486569076182
29621,20813,8,5,0.012483486569076182
30226,14546,8,5,0.012483486569076182
30506,28325,8,5,0.012483486569076182
3138,23279,9,5,0.012483486569076182
4919,20246,9,5,0.012483486569076182
7030,930,9,5,0.012483486569076182
7032,16343,9,5,0.012483486569076182
8644,5861,9,5,0.012483486569076182
8666,34251,9,5,0.012483486569076182
9499,4632,9,5,0.012483486569076182
10147,20170,9,5,0.012483486569076182
10214,23164,9,5,0.012483486569076182
11064,10581,9,5,0.012483486569076182
15945,23560,9,5,0.012483486569076182
16238,16739,9,5,0.012483486569076182
16955,2210,9,5,0.012483486569076182
17943,25260,9,5,0.012483486569076182
17981,11345,9,5,0.012483486569076182
18848,11895,9,5,0.012483486569076182
20619,31574,9,5,0.012483486569076182
22065,17472,9,5,0.012483486569076182
22265,4545,9,5,0.012483486569076182
22266,33548,9,5,0.012483486569076182
22878,15519,9,5,0.012483486569076182
22948,14384,9,5,0.012483486569076182
23052,26711,9,5,0.012483486569076182
26262,24306,9,5,0.012483486569076182
28111,11039,9,5,0.012483486569076182
28322,37689,9,5,0.012483486569076182
28571,33438,9,5,0.012483486569076182
28574,8511,9,5,0.012483486569076182
31638,19571,9,5,0.012483486569076182
3136,31483,10,5,0.012483486569076182
3139,33906,10,5,0.012483486569076182
14105,37481,10,5,0.012483486569076182
14247,25271,10,5,0.012483486569076182
15874,21641,10,5,0.012483486569076182
21838,27224,10,5,0.012483486569076182
21858,31870,10,5,0.012483486569076182
22066,17516,10,5,0.012483486569076182
22950,11395,10,5,0.012483486569076182
23193,15257,10,5,0.012483486569076182
23741,12321,10,5,0.012483486569076182
24452,7519,10,5,0.012483486569076182
29013,36076,10,5,0.012483486569076182
8183,8215,11,5,0.012483486569076182
10143,31183,11,5,0.012483486569076182
11897,31493,11,5,0.012483486569076182
13778,15548,11,5,0.012483486569076182
15538,1874,11,5,0.012483486569076182
22717,22925,11,5,0.012483486569076182
27554,13634,11,5,0.012483486569076182
30145,30763,11,5,0.012483486569076182
2597,34597,12,5,0.012483486569076182
7177,14290,12,5,0.012483486569076182
10142,26525,12,5,0.012483486569076182
11007,10345,12,5,0.012483486569076182
15126,30325,12,5,0.012483486569076182
17507,31350,12,5,0.012483486569076182
18961,27071,12,5,0.012483486569076182
3143,20040,13,5,0.012483486569076182
5805,21067,13,5,0.012483486569076182
7722,14079,13,5,0.012483486569076182
8670,19054,13,5,0.012483486569076182
10107,7157,13,5,0.012483486569076182
10108,18027,13,5,0.012483486569076182
12334,12132,13,5,0.012483486569076182
15705,23062,13,5,0.012483486569076182
20879,9425,13,5,0.012483486569076182
22885,33706,13,5,0.012483486569076182
3134,32764,14,5,0.012483486569076182
3142,37584,14,5,0.012483486569076182
7721,8761,14,5,0.012483486569076182
10156,7189,14,5,0.012483486569076182
10677,27862,14,5,0.012483486569076182
15453,11769,14,5,0.012483486569076182
15675,4797,14,5,0.012483486569076182
24324,12491,14,5,0.012483486569076182
29476,17411,14,5,0.012483486569076182
3141,35175,15,5,0.012483486569076182
5256,13699,15,5,0.012483486569076182
13863,36777,15,5,0.012483486569076182
14241,8936,15,5,0.012483486569076182
16956,3952,15,5,0.012483486569076182
17941,11950,15,5,0.012483486569076182
20032,24757,15,5,0.012483486569076182
22545,6627,15,5,0.012483486569076182
22949,21985,15,5,0.012483486569076182
23748,15470,15,5,0.012483486569076182
29764,25015,15,5,0.012483486569076182
3128,12732,16,5,0.012483486569076182
15851,24786,16,5,0.012483486569076182
15942,2004,16,5,0.012483486569076182
20599,28993,16,5,0.012483486569076182
20890,16443,16,5,0.012483486569076182
7428,29601,17,5,0.012483486569076182
7720,20921,17,5,0.012483486569076182
10145,10788,17,5,0.012483486569076182
10150,34569,17,5,0.012483486569076182
16096,16774,17,5,0.012483486569076182
16279,36187,17,5,0.012483486569076182
16959,35821,17,5,0.012483486569076182
7813,29555,18,5,0.012483486569076182
10663,19275,18,5,0.012483486569076182
11240,29689,18,5,0.012483486569076182
12787,24120,18,5,0.012483486569076182
19,5916,19,5,0.012483486569076182
3148,10434,19,5,0.012483486569076182
7033,1917,19,5,0.012483486569076182
7797,14602,19,5,0.012483486569076182
8174,9005,19,5,0.012483486569076182
8177,21817,19,5,0.012483486569076182
8642,14693,19,5,0.012483486569076182
8649,26272,19,5,0.012483486569076182
10151,4190,19,5,0.012483486569076182
13853,8265,19,5,0.012483486569076182
15943,35221,19,5,0.012483486569076182
17831,24633,19,5,0.012483486569076182
20877,3921,19,5,0.012483486569076182
17,3358,20,5,0.012483486569076182
6158,24719,20,5,0.012483486569076182
8175,35817,20,5,0.012483486569076182
8178,8595,20,5,0.012483486569076182
8179,15704,20,5,0.012483486569076182
23745,18353,20,5,0.012483486569076182
23868,18432,20,5,0.012483486569076182
1298,34861,21,5,0.012483486569076182
3126,23588,21,5,0.012483486569076182
8172,19837,21,5,0.012483486569076182
12041,32609,21,5,0.012483486569076182
26652,9950,21,5,0.012483486569076182
392,12929,22,5,0.012483486569076182
8652,36734,22,5,0.012483486569076182
8661,24672,22,5,0.012483486569076182
15449,35165,22,5,0.012483486569076182
13930,8493,23,5,0.012483486569076182
31624,28376,23,5,0.012483486569076182
3135,27906,24,5,0.012483486569076182
8176,23781,24,5,0.012483486569076182
8653,22959,24,5,0.012483486569076182
14248,27913,24,5,0.012483486569076182
15200,10126,24,5,0.012483486569076182
15725,37360,24,5,0.012483486569076182
1415,21901,25,5,0.012483486569076182
3125,376,25,5,0.012483486569076182
7035,6269,25,5,0.012483486569076182
8646,8923,25,5,0.012483486569076182
15455,11577,25,5,0.012483486569076182
389,1070,26,5,0.012483486569076182
17940,2510,26,5,0.012483486569076182
10149,17806,27,5,0.012483486569076182
15745,22576,27,5,0.012483486569076182
8667,4396,28,5,0.012483486569076182
10633,18535,28,5,0.012483486569076182
10735,2277,28,5,0.012483486569076182
15446,1837,28,5,0.012483486569076182
1202,19765,29,5,0.012483486569076182
3131,4978,29,5,0.012483486569076182
14240,25118,29,5,0.012483486569076182
2421,25113,32,5,0.012483486569076182
10146,8884,32,5,0.012483486569076182
15452,20389,34,5,0.012483486569076182
17149,9248,34,5,0.012483486569076182
23820,19215,36,5,0.012483486569076182
13292,16184,37,5,0.012483486569076182
15944,29999,37,5,0.012483486569076182
3211,5264,38,5,0.012483486569076182
14238,1511,39,5,0.012483486569076182
9640,23086,40,5,0.012483486569076182
15948,35858,40,5,0.012483486569076182
3140,37351,41,5,0.012483486569076182
8669,16229,42,5,0.012483486569076182
2898,17098,43,5,0.012483486569076182
6805,17594,43,5,0.012483486569076182
15946,22971,43,5,0.012483486569076182
14242,13198,44,5,0.012483486569076182
3133,1096,45,5,0.012483486569076182
8668,17790,47,5,0.012483486569076182
540,24965,49,5,0.012483486569076182
3745,21270,54,5,0.012483486569076182
4564,17384,56,5,0.012483486569076182
8647,6942,57,5,0.012483486569076182
3111,12410,59,5,0.012483486569076182
3113,22690,59,5,0.012483486569076182
821,13486,63,5,0.012483486569076182
7384,18787,67,5,0.012483486569076182
8180,34002,68,5,0.012483486569076182
7990,9201,69,5,0.012483486569076182
10989,10289,69,5,0.012483486569076182
1687,14796,70,5,0.012483486569076182
3187,28340,75,5,0.012483486569076182
8672,17237,76,5,0.012483486569076182
6186,28036,77,5,0.012483486569076182
388,36648,81,5,0.012483486569076182
1622,3416,89,5,0.012483486569076182
79,12102,92,5,0.012483486569076182
1768,29715,133,5,0.012483486569076182
1240,35822,202,5,0.012483486569076182
1460,26996,1,12,0.004065437278433668
3913,485,1,12,0.004065437278433668
6486,21345,1,12,0.004065437278433668
8504,21349,1,12,0.004065437278433668
9713,11997,1,12,0.004065437278433668
14699,13304,1,12,0.004065437278433668
14822,1623,1,12,0.004065437278433668
15233,1758,1,12,0.004065437278433668
16108,2072,1,12,0.004065437278433668
17627,2419,1,12,0.004065437278433668
21751,4144,1,12,0.004065437278433668
21777,1861,1,12,0.004065437278433668
22553,4551,1,12,0.004065437278433668
23261,19220,1,12,0.004065437278433668
23319,5049,1,12,0.004065437278433668
24223,5582,1,12,0.004065437278433668
24294,21822,1,12,0.004065437278433668
24296,34659,1,12,0.004065437278433668
24307,26566,1,12,0.004065437278433668
24320,26642,1,12,0.004065437278433668
24338,24327,1,12,0.004065437278433668
24350,12851,1,12,0.004065437278433668
24353,17759,1,12,0.004065437278433668
24358,11556,1,12,0.004065437278433668
24360,23240,1,12,0.004065437278433668
24367,34210,1,12,0.004065437278433668
24371,29232,1,12,0.004065437278433668
24372,17631,1,12,0.004065437278433668
24379,29262,1,12,0.004065437278433668
24383,16403,1,12,0.004065437278433668
